,Unnamed: 0,Unnamed: 0.1,Unique ID,Macaddress,Temperature,Light,packets,namespace,txPower,interval,batteryLevel,Floor,location_id,zone_predicted,zone_to_use,zone_truth,N_True,N_False,N_total,N_false/N_total,node_or_neighbor,node_or_neighbor/N_total
112,112,51,suXoWc,FF:E6:4F:0C:CE,22,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b201,3,350,100,b2,1,B2_Carpark_zone_1,B2_Carpark_zone_1,"{'B2_Carpark_zone_2': 4, 'B2_Carpark_zone_1': 19, 'B2_SLL': 3}",19,7,26,0.269230769,22,0.846153846
113,113,5,su3QIr,C2:EA:68:D8:BF,24,10,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b202,1,350,100,b2,2,B2_SLL,B2_SLL,"{'B2_Carpark_zone_2': 2, 'B2_Carpark_zone_1': 1, 'B2_SLL': 35}",35,3,38,0.078947368,38,1
114,114,73,sujEGq,E1:88:72:8F:C5,23,2,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b203,1,350,100,b2,3,B2_CLL,B2_CLL,"{'B2_CLL': 30, 'B2_Carpark_zone_1': 10}",30,10,40,0.25,30,0.75
115,115,95,sutjMy,E3:86:FB:74:DB,21,20,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b204,3,350,100,b2,4,B2_Carpark_zone_3,B2_Carpark_zone_3,"{'B2_Carpark_zone_6': 8, 'B2_Carpark_zone_4': 7, 'B2_Carpark_zone_5': 2, 'B2_Carpark_zone_3': 16, 'B2_CLL': 2}",16,19,35,0.542857143,27,0.771428571
116,116,83,supCNe,D2:07:92:C6:E8,22,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b205,3,350,100,b2,5,B2_Carpark_zone_6,B2_Carpark_zone_6,"{'B2_ELL_2': 8, 'B2_Carpark_zone_4': 14, 'B2_ELL_1': 5, 'B2_Carpark_zone_6': 15, 'B2_Carpark_zone_5': 2}",15,29,44,0.659090909,31,0.704545455
117,117,22,suFTYA,CD:56:F4:50:F9,20,7,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b206,1,350,100,b2,6,B2_Carpark_zone_4,B2_Carpark_zone_4,"{'B2_ELL_2': 1, 'B2_ELL_1': 10, 'B2_Carpark_zone_4': 10}",10,11,21,0.523809524,21,1
118,118,102,suwSBz,C4:C6:82:37:02,20,8,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b207,1,350,100,b2,7,B2_ELL_2,B2_ELL_2,"{'B2_ELL_2': 10, 'B2_Carpark_zone_4': 2, 'B2_Carpark_zone_6': 1}",10,3,13,0.230769231,12,0.923076923
119,119,47,suWnMe,C3:A0:FD:1F:20,21,1,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b208,3,350,100,b2,8,B2_R1_LL,B2_R1_LL,"{'B2_Carpark_zone_5': 3, 'B2_Carpark_zone_3': 1, 'B2_R1_LL': 9, 'B2_Carpark_zone_2': 8}",9,12,21,0.571428571,10,0.476190476
120,120,89,suryxL,DA:4F:59:88:D3,24,28,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b209,1,350,100,b2,9,B2_R1_LL,B2_R1_LL,"{'B2_Carpark_zone_3': 2, 'B2_R1_LL': 13}",13,2,15,0.133333333,15,1
121,121,0,fuLCeU,EA:6F:37:6D:3D,25,68,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b210,3,350,100,b2,10,B2_Carpark_zone_5,B2_Carpark_zone_5,"{'B2_Carpark_zone_6': 5, 'B2_Carpark_zone_4': 3, 'B2_Carpark_zone_5': 34, 'B2_Carpark_zone_3': 9, 'B2_R2_LL': 1, 'B2_Carpark_zone_2': 2}",34,20,54,0.37037037,52,0.962962963
122,122,103,suwoMX,EE:05:51:DE:C0,21,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b211,1,350,100,b2,11,B2_R2_LL,B2_R2_LL,"{'B2_Carpark_zone_6': 2, 'B2_R2_LL': 13}",13,2,15,0.133333333,13,0.866666667
123,123,2,su0r84,D5:F8:B0:71:D1,20,7,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b212,3,350,100,b2,12,B2_Carpark_zone_6,B2_Carpark_zone_6,"{'B2_ELL_1': 1, 'B2_Carpark_zone_4': 5, 'B2_Carpark_zone_6': 25, 'B2_Carpark_zone_5': 5, 'B2_R2_LL': 6}",25,17,42,0.404761905,35,0.833333333
